text,sentiment,category
flushing depressing enough moment long bus show even count break take leaving,-0.3818,neu
meet military contractor fare collection new york subway around world,0.0,neu
year old man critically injured stabbing bus,-0.4019,neu
year old man critically injured stabbing bus,-0.4019,neu
man critical condition bus,-0.3182,neu
state government since election coming helping,0.296,neu
art book fair away transit,0.3182,neu
wake babe new service,0.0,neu
every day riding get scary dude talking slicing bus driver run bus come front since driver open back door help,-0.128,neu
fix,0.0,neu
year old man critically injured stabbing bus,-0.4019,neu
need sanctuary zone transit human right let catch child ground stop subway,-0.296,neu
recent support ally original tweet link,0.6124,pos
feel,0.0,neu
get sandwich,0.0,neu
breaking year old man critical condition multiple time bus detective searching least two suspect fled scene story video,-0.5423,neu
joe rogan comedy college comedy icon packer mindfulness duke,0.6124,neu
explicitly taking bike public holiday probably incomprehensible transit policy come across new york city tough competition,0.296,neu
empty seat flashy fish,-0.2023,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
sometimes get couple post pro ta post,0.0,neu
meet military contractor fare collection new york subway around world,0.0,neu
worker eat duck mainly bus driver mad go drive truck passenger problem,-0.7096,neu
love locked eye kept rolling past stop like another minute hell,-0.0258,neu
visiting least plenty food option otherwise food treat every state like country almost also subway phone really useful afraid ask people help,0.8777,neu
posted annual subway budget south,0.0,neu
yes moment bus run weekday closed school schedule route run extra trip school hour change view update check statue bus el,0.4019,neu
fund actually work nope got billion pig blue,0.0,neu
meet military contractor fare collection new york subway around world,0.0,neu
ya want experience true simulation like take,0.6808,pos
abuser control medical board pull medical license hope patient left practice sue year want screwed many transit worker,-0.5574,neu
recent support ally original tweet link,0.6124,pos
wow almost like,0.719,pos
bus run garden ozone park show run driver leaf empty worst bus wait min always really long wait,-0.7096,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
excellent,0.5719,pos
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
bus new york,0.0,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
getting dogged stupid man morning end route work since broke heart getting dragged dogged black men entire life learning shut accept block instead,-0.7717,neu
much time,0.0,neu
recent support ally original tweet link,0.6124,pos
expect expect,0.0,neu
careful,0.1531,pos
honestly cute movie like movie,0.8176,pos
would take government buy port authority bond refinance bus executive department,0.0772,neu
good bit movie hope watch,0.7003,pos
girl east responsible girl forced man commit crime real sound technology speak skull like everybody truth,0.2023,neu
believe got sacked believe operating light rail schedule folk downtown tonight better game plan,0.4404,neu
clearly court failing stop worst contribute way flush make example amply clear,-0.6486,neg
good night,0.4404,pos
warning live use live hacker phone spy,-0.34,neu
gaby honestly arrival depend getting together,0.4588,neu
yes situation partially yet whole god know long,0.5859,neu
following trip run transit center central park much service bus operator available see next bus arrive,0.0,neu
hear love,0.6369,pos
recent support ally original tweet link,0.6124,pos
made tick tock bike kick yea,0.0,neu
bus comfortable spirit,0.6124,pos
never one home state government city city council city toilet,0.0,neu
worker fire,-0.34,neg
many psychopath hobo rapist hell general punisher point,-0.9246,neg
new york welcome akimbo,0.4588,neu
subway token booth worker subway station open door said police buy single ride buy single rhyme card pay,-0.1027,neu
proof group corrupt never even posted stuff discord claim clearly false someone stood got,0.0,neu
express local express local,0.0,neu
bus time show still problem dark people telling people cross heavily used highway solution,-0.1027,neu
bus zoo brush electrical pole falling blocking way told walk people child among across highway get side bridge,-0.4939,neu
subway token booth worker subway station getting absolutely nothing day benefit people watching phone part job,-0.4105,neu
subway token booth worker subway station forcing customer buy single ride threatening police like machine working properly automatic free ride,0.34,neu
transplant child indentured,0.0,neu
short epic know anything boston transportation policy assure still capitalist agency run subway make rail line developer friendly park rather new subway line state agency,0.6808,neu
going service sitting port authority minute,0.0772,neu
broadly support government climate goal agree everything nothing roadblock progress,0.4344,neu
previous project elevated track work today track work done thought finished,0.0,neu
also eat dick,-0.5106,neg
back subway station new york,0.0,neu
transit first electric bus start real world testing rider board month transit,0.0,neu
year old three men,0.0,neu
group six beat stab year old boy subway platform,-0.5859,neu
great weekend growth group tough win capping weekend another tough weekend next weekend host athletics hurricane annual ken tournament see pit,0.8591,neu
hi regular weekday service work throughout midday evening view el,0.0,neu
remember seeing may bought bus make pace bus,0.0,neu
recent support ally original tweet link,0.6124,pos
saw guy attempt get mad passenger kept boarding one clapped work man queen,-0.4939,neu
subway bus normal weekday schedule tomorrow yes weekend service change end tomorrow morning click link service change tomorrow,0.4019,neu
bus continue replace valley stream west perform switch repair bus departure time see special west weekend schedule,0.4019,neu
open stroller bus route part pilot program one bus operator encounter carriage ended,0.0,neu
westbound customer station oyster bay east board bus westbound service available see weekend bus departure time oyster bay branch,0.0,neu
know bus service horrendous weekend apple map wildly inaccurate bus arrival used really great terrible least month especially today,-0.4186,neu
lyric trio via,0.0,neu
automotive industry transformation national conference,0.0,neu
way hire bus operator know expensive replace bus operator transit support beyond wrong thanks support fight keeping promotion bus operator,0.3818,neu
dollar ticket received still add year try babe,0.0,neu
automotive industry transformation national conference,0.0,neu
fruit snack made,0.0,neu
every week get worse worse joke literally always,-0.6124,neg
another great honk parade union member unite municipal employee association worker united state rep mike erika link photo,0.7845,neu
thorough yee,0.0,neu
thorough yee,0.0,neu
come new way get people way love twitter,0.6369,neu
spotting bus inexplicably highway headed back today,0.0,neu
campfire part try,0.0,neu
look like big let tell something brother lent bullhorn transit worker,0.3612,neu
recent support ally original tweet link,0.6124,pos
like maybe need pay people screaming get subway man clearly drunk angry,-0.5423,neg
following trip run transit center central park much service bus operator available see next bus arrive,0.0,neu
study still university looking people get involved post covid study help understand irreversible damage repeated covid infection cause,-0.3182,neu
hi operate hour find schedule el,0.0,neu
hi bus weekday schedule find bus schedule el,0.0,neu
also gun gon na subway least could tell sir get right something worker booth safe,0.128,neu
hello question waiting heading new jersey run hour,0.0,neu
wondering sign get filthy oh wait look one next flushing nice impression,0.5719,neu
honestly paying much attention frequency service time enduring year telling everyone press public matter got got,0.4767,neu
reduced service reduced service,0.0,neu
pepper spray always feel reluctant use station count like aerosol threat something officer pause service station,-0.4404,neu
old enough remember cool upstart like worst part staff pleasant,0.4588,pos
every night uncertain time passing block street gave connection normality way fully appreciate employee covid even mostly empty bus killer,-0.8024,neu
appreciation thank love bus driver system fact bus driver around world people keep world rarely get credit deserve pandemic going walk,0.8323,neu
used birthday parade,0.0,neu
start offering service station beginning next week news transit,0.0,neu
fine admit know,0.3818,pos
specific also,0.0,neu
recent support ally original tweet link,0.6124,pos
live inauguration reception mosque starting shortly via,0.0,neu
see bus east today,0.0,neu
want back best,0.6705,pos
part suspended part suspended,-0.7351,neg
drunk today,-0.34,neg
one estimate year fare according mean really around year fare problem subway bus except express bus used middle class rider pay fare,-0.4767,neu
hey going east bound,0.0,neu
support,0.4019,pos
pretty solid week event outlined summary thread calendar worth gander,0.6908,neu
trip depart central park run much service bus operator available see next bus arrive,0.0,neu
low key proposal entire new subway line capacity study,-0.2732,neu
leave sad news conviction minor valiant hong many loosing liberty across many country hong beyond say,0.0258,neu
week thanks event expect find event week progress check take care look raise struggle solidarity,0.8316,pos
ongoing endless escape exhibition till feat work yan photo campaign,0.1779,neu
grand army plaza due man weapon resolved soon,0.3612,neu
ongoing art campaign inspiring tell story top left bottom left top right bottom right,0.6597,neu
marina new york world class city worth world class city noted shameful transport elsewhere cop get airport station,-0.3182,neu
notorious easily,-0.128,neg
express willet point tonight game,0.0,neu
host screening love time revolution ongoing program ongoing devil detail exhibition looking massacre ongoing,-0.0516,neu
time actually,0.0,neu
evening traffic update wonderful night,0.5719,neu
host road freedom parallel struggle ajar host update glitter talking,0.4404,neu
currently bank good back year,0.4404,neu
marina take international terminal still tram rest airport bus unlike give leading public transit totally,0.0,neu
going street say huge even bus something going,0.3182,neu
recent support ally original tweet link,0.6124,pos
speaker came back injury never as got hurt,-0.0062,neu
broadway junction free shuttle bus place stop lorimer driving,0.2732,neu
host active bystander training also wed continue training series security also host midweek talk today,0.6249,neu
known would let,0.0,neu
notorious third team put ball end zone two yard line league throw pack as,-0.4404,neu
notorious field goal range hopeless,-0.7096,neg
could easily,0.34,pos
got event far calendar week campaign training exhibition talk virtual interview thing detail calendar,0.0,neu
speaker feel bad man used probably league year,-0.5423,neu
indeed often punish reach favor continuity since sale investment time much like increase air close store possible,0.4939,neu
whoever bright idea run line maintenance weekend new york comic con fired much displacement tourist leaf bad impression transit system,-0.5106,neu
due many may able afford travel friend family unsafe inaccessible ill limited route tax cell phone gas auto registration driver license,-0.128,neu
local express local express,0.0,neu
brown,0.0,neu
service advisory east westbound subway service station state center bus bridge longer place station appreciate patience,0.4019,neu
fact trial stopped early unethical continue providing psychological treatment contact robustly effective biological treatment youth,-0.2732,neu
well weekend went fast get summary upcoming event would like express sorrow see violence fighting junta aa targeted,-0.7506,neu
toast sound like side triangulation like,0.6124,pos
decision truly dedicate,0.4404,pos
tune watch week sermon,0.0,neu
point un mi dog,0.0,neu
there way going like minute work might minute late work trained,0.3612,neu
new event time time host screening love time revolution director,0.6369,neu
egg subway necessary evil see worker suburban house car far better way life freedom dependence tender mercy,0.6369,neu
field hockey edged university new eagle,0.0,neu
museum thanks tag look like great event added calendar,0.8591,pos
new event time community host sport music dance food event shirt look good detail,0.4404,neu
going downtown wrong grand course grand course announcement late,0.4404,neu
work crew fix heretofore unseen hope regular service soon,0.4404,neu
needle pill bottle found side track center stop,-0.296,neu
new event host road freedom parallel struggle talk celebrate birthday show solidarity movement,0.8316,pos
maybe provide context source,0.0,neu
guy please update waiting long,0.3182,neu
reward,0.5719,pos
woodside queen bus stuck street,-0.25,neu
one thing say subway drunk people family people cool neighborhood drunk screaming reason saw talking person let man subway screaming,-0.7717,neu
following trip run south central park much service bus operator available see next bus arrive,0.0,neu
today slay,0.0,neu
great,0.6249,pos
taking subway back criminal trash,-0.5267,neu
recent support ally original tweet art lin lat link,0.6124,neu
neal cowboy largo queen defense trump bad agree absolve cult new york daily news month fund meant repair boost pet project,0.5267,neu
bus added player use future staff,0.0,neu
look like,0.3612,pos
disagree lived major old showy japan would know best underground system take everywhere always alternative route live learn navigate best way get around efficiently yah,0.8591,neu
happy announce lab seminar series fall event seminar open subscribe list receive link update see,0.5719,neu
go home enough illegal immigrant daily commute look like coming city,-0.2732,neu
tax already insane show completely broken,-0.7264,neg
hey today conductor make connection conductor screaming platform,-0.3818,neu
embarrassing thing clue take express bus,-0.3818,neu
union turnpike little neck parkway glen oak,0.0,neu
reason moving like snail like get home next year car,0.6124,neu
one young childhood hero super sub team one sub also seen match obviously wish full speedy recovery,0.8807,neu
bail law nothing rise crime across entire country stop lying,-0.4118,neu
never going end need done keep system working project summer tunnel archer avenue track replace west elevated section queen,0.0,neu
hate weekend suppose travel,-0.5719,neg
due many may able afford travel friend family unsafe inaccessible ill limited route tax cell phone gas auto registration driver license,-0.128,neu
think fun take day,0.5106,pos
hello everyone new video made check north river short,0.0,neu
start work think longer option weekend,0.0,neu
sick,-0.5106,neg
thinking going forever,0.0,neu
love subway come weekend,0.6369,pos
platform bound homeless outreach,0.2732,neu
sketch kind thing clean uncluttered internally harmonious respecting route color degree line rectangular central park would plausible alternative eventual map,0.9062,neu
picture,0.0,neu
mock show real disrespect time wrong news flash could afford everywhere walk would way ridiculous,-0.8807,neg
also recall incident took officer minute arrive long got away given conduct unbecoming,0.0,neu
wondering raise rate go exclusively service staff treatment improve trying cynic never evidence happen people actually care weekend bus service lack thereof,0.34,neu
recent support ally original tweet ae link,0.6124,neu
tiffany caban realize older adult weak powerless stop,-0.8074,neg
also click link view current elevator escalator status time,0.0,neu
today,0.0,neu
holding royalty lucky enough exit profit watching agree ton beta wait moving much miner royalty,0.802,neu
apparently taking weekend,0.0,neu
marc line station operating minute behind schedule due holding regional,0.0,neu
accountable crime since make everyone insane,-0.7351,neg
really grown role make overlap,0.0,neu
definitely need asleep state government need look way treat citizen,0.6597,neu
tiffany caban people age super narcissistic,0.5994,neu
honestly right back back good,0.7096,pos
yo crazy blasting heating degree weather,-0.34,neu
subway suck,-0.4404,neg
tiffany caban new york safe young woman making video like remember used safe take alone hour day,0.743,neu
year fix instead ran town groping bullying,-0.5994,neu
still suspension conduct unbecoming yelling cop job event going getting angry bus driver crime prevention workplace threat,-0.8807,neu
fox air airport airport paramount fox web fox,0.0,neu
also player,0.0,neu
got ta one whole system,0.0,neu
work taking law hand kicking lighting pipe nurse something conductor female want thing,0.5423,neu
mahatma khan please,0.3182,pos
ton footage northern traffic long educated guess double parking side street especially make impossible foe traffic move bus lane,-0.4877,neu
light service hour customer please plan travel thank riding light date information please check transit,0.7269,neu
six subway brute beat waiting afternoon remain large police crime,-0.5423,neu
congestion charge worked elsewhere need saving,0.0,neu
yes monstrous vehicle one audacity charge injustice bill propose pay every time use transit,-0.34,neu
service bus ferry posted bus time,0.0,neu
union people really benefit plan reverse peak commuter represent minority base definitely critical market take lot time grow time wait,0.5709,neu
way ben white absolute baller know already,0.0,neu
local express local express,0.0,neu
martin character trait leaving lasting impression student bought buddy new water bottle pick trash playground always let conscience guide blue fairy marlin,0.2263,neu
nothing wrong,0.3724,pos
please visit service change arrival time thank,0.5859,neu
new york offering money people report bike lane violation complex transit,-0.4939,neu
time actually,0.0,neu
arsenal finally beaten inferiority complex,-0.5994,neg
make posting half marathon bus going ferry suck healthy,-0.0516,neu
lot thought first two really fantastic see taking holistic approach system capacity management get simulation simple mix really bad,0.0258,neu
criminal murderer rapist robber open warrant care crime want fund enforce law stop,-0.9623,neg
force man,0.0,neu
like month never lose ever,0.5801,pos
major problem ton great work like agency done stay house reason could foil study acknowledged material,0.5994,neu
year ago,0.0,neu
turned say never exposed role look better strength consistently first time arsenal colour,0.7447,neu
stop word impact intent structure team impact mean score every ball come silly cricketer forgot score focus dot ball first boundary,-0.2732,neu
recent support ally original tweet link,0.6124,pos
teen actually something life working pack thug,0.0,neu
worst shilling tear gas fired khan government procession,-0.8271,neg
event know fair already agreed one catch next one,0.5267,neu
turned good box box studied,0.4404,neu
true line island miss gat white min next,0.296,neu
studio tour day reach team amazing experience,0.5994,neu
got min early shuttle even show like kind absolute service per usual,0.7096,neu
one coming subway already recording likely homeless man watched video made ask anything start making scene,0.0,neu
weekend service weekend service,0.0,neu
subway conductor sang new york new york sometimes joy,0.5859,neu
good afternoon please visit make comment suggestion concerning service thank,0.7717,pos
suck,-0.4404,neg
mayor eric falling behind pledge build new mile bus lane year one signature project facing opposition local city councilman,-0.1531,neu
hour yesterday uptown never came take later go turnstile scary homeless guy accosted turned around take refund please,-0.2263,neu
mood,0.0,neu
levy take opportunity also untangle line take complexity along minute service help improve perception service quality,0.8126,neu
absolute disaster shuttle bus stop guy route clear street maintenance traffic cop,-0.5719,neu
cute,0.4588,pos
always score,0.0,neu
minute little gap,0.0,neu
good afternoon attack homelessness man definitely schedule commute around winter much possible hire consultant help homeless situation,0.6369,neu
man fix finishing,0.0,neu
field place tried find look splendid,0.5859,neu
roger great story suggestion actually put advertising full outside procedure tie advertising line especially win tonight joe holiday,0.8977,neu
one avenue run next causing little gap service,0.0,neu
today,0.0,neu
service noon,0.0,neu
know nothing,0.0,neu
uptown line broadway lafayette across platform truly law weekend,0.4404,neu
man becoming sloppy holding na problem,-0.4019,neu
dey gim joy,0.5859,pos
wait try station see people come torch white robe hood,0.0,neu
guy way,0.0,neu
thee,0.0,neu
recent support ally original tweet hearty mo sao link,0.6124,neu
homework due tomorrow wi fi house working,0.0,neu
die realize,-0.5994,neg
currently way get plaza already overflowing passenger trying transfer next coming minute another fail,-0.5423,neu
dagger minute,0.0,neu
much people like acknowledge transit many serious fundamental get worse budget becomes even next year nobody office management shown interest hard work address,0.1779,neu
see next bus arrive,0.0,neu
min ago uptown franklin said min min next wondering long spacing right,0.0,neu
slow speed slow speed,0.0,neu
useless day,-0.4215,neg
box na birthday gift see long last good lady one take good care na go far lady motivate kill spirit,0.8591,pos
need hold bench week,0.0,neu
whenever player need goal come arsenal always,0.0,neu
ran campaign telling people subway bus system said risk low ease mask could go day government seriousness virus statement policy,-0.2263,neu
ask express bus driver shortage subway wi fi grand central,0.25,neu
sun main railroad caution however recreational loop trail closed notice trail skull rock admiral lake lake lake rock granite ridge,0.3182,neu
ferry back next summer lake shore greyhound wolverine smart bus flint,0.4019,neu
teen traveling work afternoon brutally good thing mayor posing picture city myriad crisis nice photo though eric send copy,-0.5267,neu
io even make joke improvement like bob ross happy little accident,0.8221,pos
need post transit cop big station catch fare beater last week main station flushing amazing many people walking gate one stop,0.3818,neu
think figured might finally happy,0.5719,neu
think ta core bo babe losing interest min ta worry te,-0.3612,neu
end morning journey someone yelling people turnstile,0.0,neu
locust point today whole morning seen one bus come last stop probably turn right people waiting locust point,-0.296,neu
due respect got cross town bus frequently make,0.4767,neu
tough decision await transit revenue fully rebound two year,-0.0258,neu
really elderly bus,0.0,neu
great message find tough kind sometimes,0.7906,pos
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
taking break victim,-0.2732,neg
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
wait faster thought,0.0,neu
sleep clinical order make time going kill especially taking,-0.6908,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
bisexual anything dinner tonight,0.0,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
beauty,0.5859,pos
get,0.0,neu
unfortunately know repeat offender found emergency gate turnstile broadway broadway subway station year shaver still nest,-0.7579,neu
goal,0.0,neu
letter today attention must matter poor apathetic adversely affect many hard working lier conductor new time table go affect time,-0.7506,neu
ask express bus driver shortage subway wi fi grand central,0.25,neu
good hear system falling apart reason trouble new york,-0.1027,neu
cop responsibility help would,0.4019,neu
leaving yet still giving whim fancy pant runner bus leave whichever stop,0.0,neu
try making safe democrat protecting killer rapist one dare ride subway bus,-0.8074,neg
budget budget,0.0,neu
year tax holiday engineering operation hire work two year performance rating high speed rail would quickly,0.4019,neu
state agency take control back city flood system every aerate offer forest ranger state park police make system safe use tool box crime,-0.1531,neu
union yeah probably right suspect also something several thing making politically unattractive city study several year back went nowhere year need outline noncommittal building subway,-0.4404,neu
never,0.0,neu
push new tax pretend stop people driving save congestion work saving snob,-0.34,neu
something like might actually help new york much better push new tax pretend stop people driving save,0.8271,pos
anyone home state government crisis seem improving repeat offender,-0.5859,neg
recent support ally original tweet rightly link,0.6124,neu
anyone home state government crisis seem improving suspect found emergency gate turnstile broadway broadway subway station,-0.7269,neu
time actually,0.0,neu
employee glad crime relieved taxpayer finally realizing cry help concern safety brought punishment harassment,-0.4939,neg
happy thanksgiving,0.5719,pos
anyone home state government crisis seem improving,-0.3182,neu
late work dumb as,-0.5106,neg
part best thing done well least,0.743,pos
even though lot work many issue always stand people people care indisputable see interview latest,0.4939,neu
anyone home state government crisis seem improving,-0.3182,neu
anyone home state government crisis seem improving,-0.3182,neu
following trip run central park much service bus operator available see next bus arrive,0.0,neu
non rider sleeping stair entering station every day past week least one needle cover scattered long staircase drug use poorly station,0.0,neu
today,0.0,neu
topper licking class,0.0,neu
aware,0.0,neu
light rail service advisory raven football service raven fan heading tonight game bank stadium light rail operate regular schedule supplemental express local shuttle bus service,0.3182,neu
recent support ally original tweet link,0.6124,pos
good ill advised plan pay operating cost borrowing even see fiscal cliff clearer detail tough choice made ensure transit system rebound strength,0.6124,neu
brad ink map original available inquiry full posted exclusively,0.3182,neu
design already done need patron get capital budget amount low hanging operational fruit astounding,0.1779,neu
articulate choice word really blow,0.0,neu
new event call ally join photo campaign protest killing student take pic raise voice,-0.6369,neu
light service airport currently customer please plan ahead allow extra time travel airport date information please check,0.6705,neu
democrat want charge karma,0.0772,neu
nick headed way soon,0.0,neu
light service advisory light service airport currently customer please plan ahead allow extra time travel airport date,0.4939,neu
man wandering subway track struck cop new york post transit,-0.25,neu
today,0.0,neu
museum must fight democracy revolution till end deserve democracy victory worth totally military regime last,-0.1779,neu
subway station,0.0,neu
subway,0.0,neu
subway street square,0.0,neu
subway canal,0.0,neu
really issuing shuttle ticket,0.0,neu
reroute instruction wrong grand bus tracker bus approaching passing never saw really,-0.0258,neu
park station isle opening night,0.0,neu
fair point tweet sorry seen say lot thing issue last year nothing worked suggestion cop everywhere impossible,0.25,neu
teen attacker subway beaten cop new york post transit,-0.7579,neu
case ever proof perhaps single biggest knot whole plan shelf decade plus fix,0.0,neu
going finally reason get dressed heel miss,-0.1531,neu
hustler nation normal hustle,0.0,neu
really dude debating twitter,0.0,neu
late constantly late dirty car awful service never change,-0.7096,neu
love know one biggest weekend maybe ever wild card game response run slow speed cut back many forcing crowd,0.4767,neu
camera crime group attack appalling also tired hearing unprovoked attack physical violence never whether verbal interaction vigilante justice unacceptable unsafe,-0.9571,neg
weekend service end,0.0,neu
recent support ally original tweet link,0.6124,pos
track bus time cause never come time say,0.0,neu
light service airport approximately hour please plan travel time appreciate patience always thank riding light date,0.7579,neu
terrible story,-0.4767,neg
museum,0.0,neu
interesting talk conductor hear police commuter rail like,0.6369,neu
museum,0.0,neu
museum,0.0,neu
museum,0.0,neu
museum,0.0,neu
museum,0.0,neu
world class transportation agency politician care enough columnist,0.4939,neu
following trip run central park much service bus operator available see next bus arrive,0.0,neu
know anything said city blight meeting drove today shamble despite photo saying broke ground new fire department headquarters,-0.0176,neu
museum know either,0.0,neu
